,name,radius,mass,distance
664,WISE 1852+3537,55.4,,
665,WISE 1906+4508,51.5,,
666,WISE 1928+2356,22.8,,
667,WISE 1952+7240,44.4,,
668,WISE 1959-3338,37.2,,
669,WISE 2030+0749,34.2,,
670,WISE 2014+0424,96.2,,
671,WISE 2015+6646,50.6,,
672,WISE 2018-7423,47.9,,
673,WISE 2019-1148,42.4,,
674,WISE 2056+1459,24.5,,
675,WISE 2134-7137,42.7,,
676,WISE 2157+2659,61.6,,
677,WISE 2209-2734,46,,
678,WISE 2213+0911,58.7,,
679,WISE 2220-3628,26.4,,
680,WISE 2226+0440,45,,
681,WISE 2237-0614,53.5,,
682,WISE 2237+7228,46,,
683,WISE 2239+1617,59.7,,
684,WISE 2255-3118,44.7,,
685,WISE 2301+0216,60.7,,
686,WISE 2313-8037,35.9,,
687,WISE 2319-1844,52.2,,
688,WISE 2325-4105,37.5,,
689,WISE 2327-2730,70.8,,
690,WISE 2335+4222,90.3,,
691,WISE 2340-0745,37.8,,
692,WISE 2342+0856,51.2,,
693,WISE 2343-7418,48.6,,
694,WISE 2344+1034,46,,
695,WISE 2348-1028,54.1,,
696,WISE 2357+1227,54.8,,
697,WISE 2359-7335,42.7,,
698,WISEA 1101+5400,111,,
699,2M1510,120,,
700,SDSS J000013.54+255418.6 [de],46.1,48,0.99
701,2MASS J00040288-6410358,192,19,1.63
702,LHS 102BC,,,
703,2MASS J00242463-0158201,37.7,79,1.09
704,2MASS J00250365+4759191AB,143,,
705,2MASS J00274197+0503417,236,31,1.44
706,2MASS J00275592+2219328,46.9,,
707,2MASSW J0030300-145033,87.2,54,0.98
708,2MASS J00332386-1521309 [de],131,29,1.43
709,2MASS J00345157+0523050,31,42,0.94
710,2MASS 0036+1821,28.6,42,0.94
711,2MASSW J0045214+163445,57,23,1.62
712,WISEP J004701.06+680352.1 [fr],40,12,1.3
713,2MASS J00501994-3322402 [de],34,40,0.94
714,2MASS J00034227-2822410,,,
715,2MASS J00584253-0651239 [de],96,29,1.43
716,CFBDS J005910.90–011401.3,30,23,
717,2MASSI J0103320+193536,70,52,0.98
718,SDSSp J010752.33+004156.1 [de],51,52,0.98
719,2MASSI J0117474-340325 [de],163,20,1.62
720,2MASS J01415823-4633574 [de],130,20,1.61
721,SDSS J015141.69+124429.6,70,47,0.97
722,DENIS-P J020529.0−115925A,65,,
723,DENIS-P J020529.0−115925B,65,,
724,DENIS-P J020529.0−115925C,65,,
725,SDSS J020742.48+000056.2 [de],111,47,0.97
726,2MASS J02103857-3015313,101,15,1.53
727,2MASS J02340093-6442068,155,20,1.62
728,2MASS J02411151-0326587 [de],152,27,1.41
729,2MASS J02431371−2453298,35,33,0.99
730,LP 771-21,53,78,1.08
731,2MASS J02511327+0047364,,,
732,2MASS J02535980+3206373,184,65,1.9
733,WISE J0254+0223,24,65,1.9
734,DEN 0255-4700,16.2,80,0.97
735,2MASS J03185403-3421292 [de],45,49,0.97
736,2MASS J03205965+1854233,47,88,1.15
737,2MASS J03231002-4631237,192,23,1.66
738,SDSS J032553.17+042540.1,59,45,0.95
739,2MASS J03264225-2102057 [de],80,18,1.3
740,2MASS J03284265+2302051 [de],98,54,0.98
741,2MASS J03341218-4953322,27.0,73,1.04
742,LP 944-20,20.9,73,1.43
743,2MASP J0345432+254023,88,74,1.05
744,Teide 1,380,55,3.78
745,2MASS J03510004-0052452,48,102,1.27
746,2MASS J03552337+1133437,29.8,20,1.32
747,DENIS-P J035726.9-441730 [de],130,,
748,2MASS J04151954−0935066,18.6,30,0.95
749,SDSSp J042348.57-041403.5 [de],50,,
750,2MASS J04285096-2253227 [de],85,80,1.09
751,2MASS J04351612-1606574,34,100,1.26
752,2MASS J04362788-4114465,142,39,1.97
753,2MASS J04390101-2353083 [de],29.5,48,0.97
754,2MASS J04414489+2301513,470,19,
755,2MASS J04433764+0002040,82,22,1.78
756,2MASS J04455387-3048204 [de],42,64,1.00
757,2MASS J04510093-3402150 [de],69,72,1.04
758,2MASS J05002100+0330501 [de],44,64,1.00
759,2MASS J05012406-0010452 [de],64,21,1.38
760,2MASS J05160945-0445499 [de],73,47,0.97
761,2MASS J0523−1403,40,68,1.01
762,2MASS 0532+8246,81,83,
763,SDSS J053951.99-005902.0,41.62,61,1.01
764,2MASS J05591914-1404488 [de],34,,
765,LSR 0602+3910 [de],34.6,28,1.41
766,2MASS J06085283-2753583,102,38,1.51
767,WISEP J061135.13-041024.0A,69,65,
768,WISEP J061135.13-041024.0B,69,53,
769,2MASS J06244595-4521548 [de],39,56,0.99
770,2MASS J06411840-4322329 [de],65,67,1.01
771,DENIS-P J0652197-253450 [de],51,75,1.05
772,2MASS J07003664+3157266 [de],40,,
773,2MASS J07075327-4900503,60,72,1.03
774,UGPS J072227.51-054031.2,13.4,26,0.98
775,2MASSI J0727182+171001 [de],29.6,41,0.94
776,2MASS J07290002-3954043 [de],25.8,37,0.94
777,SDSS J074201.41+205520.5 [de],49,43,0.94
778,2MASS J0746425+200032 [fr],49.6,,
779,DENIS-P J0751164-253043 [de],55,71,1.03
780,2MASS J07522390+1612157,60,68,2.01
781,DENIS J081730.0-615520,16.1,44,0.94
782,DENIS J082303.1−491201A,67,44,
783,DENIS J082303.1−491201B,67,28,
784,2MASS J08251968+2115521 [de],35,52,0.98
785,SDSSp J083008.12+482847.4 [de],43,48,0.99
786,LHS 2021,55,88,1.15
787,SDSS J083048.80+012831.1 [de],77,46,0.96
788,2MASSI J0835425-081923 [de],23.53,62,1.00
789,2MASSI J0847287-153237 [de],43,64,1.00
790,2MASS J08533619-0329321,27.6,77,1.07
791,2MASSI J0859254-194926 [de],50,50,0.98
792,2MASSW J0920122+351742 [de],95,,
793,2MASSI J0937347+293142,20.0,42,0.94
794,2MASS 0939−2448,17.4,32,0.95
795,2MASS J09490860-1545485 [de],59,49,0.96
796,2MASS J10073369-4555147,46,44,0.94
797,2MASSI J1010148-040649 [de],55,51,0.98
798,2MASSI J1017075+130839 [de],108,,
799,SDSS J102109.69-030420.1,95,,
800,2MASS J10224821+5825453 [de],60,27,1.41
801,2MASSW J1036530-344138 [de],53,49,0.97
802,2MASS J1047538+212423 [de],34.4,42,0.94
803,Luhman 16B,6.516,43,1.02
804,Luhman 16A,6.516,40,1.01
805,DENIS-P J1058.7−1548,49,64,1.00
806,TWA 28,180,36,2.39
807,Cha 110913-773444,163,8,1.8
808,OTS 44,554,15,
809,SDSS J111010.01+011613.1,63,9,1.24
810,2MASS J11145133−2618235,18.2,33,0.96
811,TWA 26,137,30,2.20
812,2MASSW J1146345+223053,89,,
813,2MASS J11544223-3400390 [de],129,37,1.50
814,2MASSW J1155395-372735 [de],31,64,1.00
815,TWA 27A,,,
816,TWA 27B,,,
817,2MASS J12074836-3900043,217,17,1.71
818,2MASSI J1217110-031113 [de],36,42,0.94
819,2MASS J12255432-2739466,43,,
820,DENIS-P J1228.2-1547,66,,
821,2M 1237+6526,45.6,41,0.94
822,2MASSW J1239272+551537 [de],119,,
823,TWA 29,262,25,2.00
824,SDSSp J125453.90-012247.4 [de],38,47,0.98
825,Kelu-1A,61,63,0.98
826,Kelu-1B,61,58,0.98
827,2MASS J13204427+0409045,101,67,1.01
828,SDSSp J132629.82-003831.5 [de],65,51,0.97
829,SDSSp J134646.45-003150.4 [de],48,44,0.94
830,2MASS J13595510-4034582,51,63,1.00
831,ULAS J141623.94+134836.3,29.7,32,0.96
832,SDSS J141659.78+500626.4 [de],149,59,0.99
833,DENIS-P J142527.97-365023.4 [de],38,21,1.32
834,LHS 2924,38.5,76,1.06
835,2MASS J14392837+1929150,47,72,1.03
836,LSPM J1440+1339,72,92,1.19
837,2MASS J14482563+1031590 [de],47,59,0.99
838,CFBDSIR 1458+10A,104,11.1,1.5
839,CFBDSIR 1458+10B,104,9,1.3
840,TVLM 513-46546,35.1,75,1.05
841,2MASS 1503+2525,20.7,44,0.94
842,CFBDS J150411+102717,71,44,0.94
843,2MASSW J1506544+132106 [de],46,69,1.02
844,2MASS 1507−1627,23.9,60,0.99
845,TVLM 868-110639,53,79,1.08
846,SDSS J151114.66+060742.9 [de],89,,
847,2MASSW J1515008+484742 [de],34,57,0.99
848,2MASSI J1526140+204341 [de],67,54,0.98
849,DENIS-P J153941.96-052042.4 [de],51,63,1.00
850,2MASS J15462718-3325111 [de],37,44,0.94
851,2MASSW J1552591+294849 [de],68,30,1.43
852,2MASSW J1555157-095605 [de],44,71,1.03
853,2MASS J16150413+1340079 [de],48,42,0.94
854,SDSSp J162414.37+002915.6 [de],36,43,0.94
855,2MASS J16262034+3925190 [de],110,71,1.03
856,2MASSW J1632291+190441 [de],50,49,0.97
857,WISEPA J164715.59+563208.2,28,41,0.94
858,LSPM J1658+7027 [de],60,73,1.04
859,2MASSI J1726000+153819,114,24,1.40
860,2MASSW J1728114+394859,79,,
861,SDSSp J175032.96+175903.9,90,47,0.97
862,2MASS J18283572-4849046,39,45,0.95
863,LSR J1835+3259,18.5,77,1.07
864,2MASSW J1841086+311727,138,67,1.01
865,2MASS J18432213+4040209,46,96,1.22
866,2MASS J20004841-7523070,105,25,1.88
867,SDSS J204749.61-071818.3,65,46,0.96
868,2MASSI J2057540-025230,47,70,1.02
869,2MASSW J2101154+175658,108,,
870,2MASSI J2104149-103736,62,69,1.02
871,PSO J318.5−22,80,6.5,1.53
872,HB 2124-4228,113,94,1.21
873,2MASS J21392676+0220226,32.1,46,0.96
874,2MASS J21481628+4003593,26.3,55,0.99
875,2MASS J14112131-2119503,,,
876,2MASSW J2206450-421721,93,22,1.33
877,2MASSW J2208136+292121,154,27,1.41
878,2MASSW J2224438-015852,38,61,0.99
879,2MASS J22282889-4310262,35,42,0.94
880,2MASS J22373255+3922398,64,73,1.04
881,2MASSW J2244316+204343,56,12,1.29
882,2MASS J23224684-3133231,56,24,1.39
883,2MASS J23225299-6151275,148,17,1.59
884,2MASS J23515044-2537367,67,88,1.16
885,2MASSI J2356547-155310,74,80,1.09
886,WISE 0005+3737,23.2,,
887,WISE 0008-1739,87.1,,
888,WISE 0015-4615,48.6,,
889,WISE 0031-3840,71.8,,
890,WISE 0032-4946,62.9,,
891,WISE 0038+2758,36.9,,
892,WISE 0038+8405,101.8,,
893,WISE 0040+0900,47.6,,
894,WISE 0049+0441,62.6,,
895,WISE 0049+2151,24.1,,
896,WISE 0106+1518,142.9,,
897,WISE 0123+4142,67.2,,
898,WISE 0135+1715,77.3,,
899,WISE 0138-0322,57.7,,
900,WISE 0146+4234,20.5,,
901,WISE 0148-7202,30,,
902,WISE 0150+3827,61.3,,
903,WISE 0206+2640,58.4,,
904,WISE 0221+3842,73.1,,
905,WISE 0223-2932,47,,
906,WISE 0226-0211,91,,
907,WISE 0241-3653,53.8,,
908,WISE 0245-3450,56.1,,
909,WISE 0247+3725,57.1,,
910,WISE 0305+3954,75,,
911,WISE 0307+2904,82.8,,
912,WISE 0313+7807,28,,
913,WISE 0316+4307,106.3,,
914,WISE 0321-7347,84.8,,
915,WISE 0323-6025,45.3,,
916,WISE 0325-3854,51.2,,
917,WISE 0325+0831,36.5,,
918,WISE 0333-5856,54.8,,
919,WISE 0335+4310,45.7,,
920,WISE 0336-0143,55.4,,
921,WISE 0350-5658,17.7,,
922,WISE 0359-5401,19.2,,
923,WISE 0410+1502,20,6,1.17
924,WISE 0410+1411,85.8,,
925,WISE 0413-4750,66.2,,
926,WISE 0448-1935,69.8,,
927,WISE 0458+6434A,35.9,15,4.2
928,WISE 0458+6434B,35.9,10,3.8
929,WISE 0500-1223,47,,
930,WISE 0513+0608,44.7,,
931,WISE 0525+6739,98.2,,
932,WISE 0528-3308,57.4,,
933,WISE 0535-7500,47,,
934,WISE 0539-1034,84.8,,
935,WISE 0542-1628,50.6,,
936,WISE 0607+2429,25.4,,
937,WISE 0611-0410,57.7,,
938,WISE 0612-4920,95.2,,
939,WISE 0612-3036,64.9,,
940,WISE 0614+3912,50.2,,
941,WISE 0614+0951,51.5,,
942,WISE 0623-0456,37.5,,
943,WISE 0625+5646,67.2,,
944,WISE 0627-1114,37.2,,
945,WISE 0647-6232,28,,
946,WISE 0656+4205,54.1,,
947,WISE 0713-2917,23.2,,
948,WISE 0723+3403,45.7,,
949,WISE 0733+7544,78.3,,
950,WISE 0734-7157,34.9,,
951,WISE 0744+5628,47.3,,
952,WISE 0750+2725,51.5,,
953,WISE 0751-7634,39.1,,
954,WISE 0759-4904,38.8,,
955,WISE 0811-8051,32,,
956,WISE 0812+4021,63.6,,
957,WISE 0819-0335,46,,
958,WISE 0821+1443,68.2,,
959,WISE 0836-1859,72.4,,
960,WISE 0857+5604,42.1,,
961,WISE 0906+4735,51.5,,
962,WISE 0929+0409,64.9,,
963,WISE 0952+1955,72.1,,
964,WISE 1018-2445,47.6,,
965,WISE 1019+6529,56.8,,
966,WISE 1039-1600,47.3,,
967,WISE 1042-3842,53.2,,
968,WISE 1051-2138,40.8,,
969,WISE 1122+2550,57.7,,
970,WISE 1124-0421,50.6,,
971,WISE 1147-2040,102,,
972,WISE 1150+6302,32.9,,
973,WISE 1217+1626A,34.2,12,
974,WISE 1217+1626B,34.2,6,
975,WISE 1225-1013,55.4,,
976,WISE 1311+0122,44.4,,
977,WISE 1311+3629,86.1,,
978,WISE 1318-1758,32.9,,
979,WISE 1320+6034,56.1,,
980,WISE 1322-2340,33.9,,
981,WISE 1348+6603,91,,
982,WISE 1405+5534,25.3,30,0.86
983,WISE 1433-0837,84.8,,
984,WISE 1436-1814,60,,
985,WISE 1457+5815,52.2,,
986,WISE 1506+7027,11.1,,
987,WISE 1517+0529,72.4,,
988,WISE 1519+7009,50.9,,
989,WISE 1523+3125,84.5,,
990,WISE 1541-2250,20,,
991,WISE 1542+2230,41.1,,
992,WISE 1612-3420,55.4,,
993,WISE 1614+1739,32.6,,
994,WISE 1617+1807,50.2,,
995,WISE 1622-0959,52.2,,
996,WISE 1627+3255,50.2,,
997,WISE 1639-6847,16.3,,
998,WISE 1647+5632,28,,
999,WISE 1653+4444,39.5,,
1000,WISE 1711+3500,60.3,,
1001,WISE 1717+6129,72.7,,
1002,WISE 1721+1117,62.3,,
1003,WISE 1728+5716,97.8,,
1004,WISE 1738+2732,20,,
1005,WISE 1741+2553,18.9,,
1006,WISE 1746-0338,83.8,,
1007,WISE 1800+0134,28.7,57,
1008,WISE 1804+3117,30,,
1009,WISE 1809+3838,74.4,,
1010,WISE 1812+2721,47,,
1011,WISE 1828+2650,36,,
1012,WISE 1830+4542,107,,
1013,WISE 1841+7000,131.1,,
1014,WISE 1852+3537,55.4,,
1015,WISE 1906+4508,51.5,,
1016,WISE 1928+2356,22.8,,
1017,WISE 1952+7240,44.4,,
1018,WISE 1959-3338,37.2,,
1019,WISE 2030+0749,34.2,,
1020,WISE 2014+0424,96.2,,
1021,WISE 2015+6646,50.6,,
1022,WISE 2018-7423,47.9,,
1023,WISE 2019-1148,42.4,,
1024,WISE 2056+1459,24.5,,
1025,WISE 2134-7137,42.7,,
1026,WISE 2157+2659,61.6,,
1027,WISE 2209-2734,46,,
1028,WISE 2213+0911,58.7,,
1029,WISE 2220-3628,26.4,,
1030,WISE 2226+0440,45,,
1031,WISE 2237-0614,53.5,,
1032,WISE 2237+7228,46,,
1033,WISE 2239+1617,59.7,,
1034,WISE 2255-3118,44.7,,
1035,WISE 2301+0216,60.7,,
1036,WISE 2313-8037,35.9,,
1037,WISE 2319-1844,52.2,,
1038,WISE 2325-4105,37.5,,
1039,WISE 2327-2730,70.8,,
1040,WISE 2335+4222,90.3,,
1041,WISE 2340-0745,37.8,,
1042,WISE 2342+0856,51.2,,
1043,WISE 2343-7418,48.6,,
1044,WISE 2344+1034,46,,
1045,WISE 2348-1028,54.1,,
1046,WISE 2357+1227,54.8,,
1047,WISE 2359-7335,42.7,,
1048,WISEA 1101+5400,111,,
1049,2M1510,120,,
1050,SDSS J000013.54+255418.6 [de],46.1,48,0.99
1051,2MASS J00040288-6410358,192,19,1.63
1052,LHS 102BC,,,
1053,2MASS J00242463-0158201,37.7,79,1.09
1054,2MASS J00250365+4759191AB,143,,
1055,2MASS J00274197+0503417,236,31,1.44
1056,2MASS J00275592+2219328,46.9,,
1057,2MASSW J0030300-145033,87.2,54,0.98
1058,2MASS J00332386-1521309 [de],131,29,1.43
1059,2MASS J00345157+0523050,31,42,0.94
1060,2MASS 0036+1821,28.6,42,0.94
1061,2MASSW J0045214+163445,57,23,1.62
1062,WISEP J004701.06+680352.1 [fr],40,12,1.3
1063,2MASS J00501994-3322402 [de],34,40,0.94
1064,2MASS J00034227-2822410,,,
1065,2MASS J00584253-0651239 [de],96,29,1.43
1066,CFBDS J005910.90–011401.3,30,23,
1067,2MASSI J0103320+193536,70,52,0.98
1068,SDSSp J010752.33+004156.1 [de],51,52,0.98
1069,2MASSI J0117474-340325 [de],163,20,1.62
1070,2MASS J01415823-4633574 [de],130,20,1.61
1071,SDSS J015141.69+124429.6,70,47,0.97
1072,DENIS-P J020529.0−115925A,65,,
1073,DENIS-P J020529.0−115925B,65,,
1074,DENIS-P J020529.0−115925C,65,,
1075,SDSS J020742.48+000056.2 [de],111,47,0.97
1076,2MASS J02103857-3015313,101,15,1.53
1077,2MASS J02340093-6442068,155,20,1.62
1078,2MASS J02411151-0326587 [de],152,27,1.41
1079,2MASS J02431371−2453298,35,33,0.99
1080,LP 771-21,53,78,1.08
1081,2MASS J02511327+0047364,,,
1082,2MASS J02535980+3206373,184,65,1.9
1083,WISE J0254+0223,24,65,1.9
1084,DEN 0255-4700,16.2,80,0.97
1085,2MASS J03185403-3421292 [de],45,49,0.97
1086,2MASS J03205965+1854233,47,88,1.15
1087,2MASS J03231002-4631237,192,23,1.66
1088,SDSS J032553.17+042540.1,59,45,0.95
1089,2MASS J03264225-2102057 [de],80,18,1.3
1090,2MASS J03284265+2302051 [de],98,54,0.98
1091,2MASS J03341218-4953322,27.0,73,1.04
1092,LP 944-20,20.9,73,1.43
1093,2MASP J0345432+254023,88,74,1.05
1094,Teide 1,380,55,3.78
1095,2MASS J03510004-0052452,48,102,1.27
1096,2MASS J03552337+1133437,29.8,20,1.32
1097,DENIS-P J035726.9-441730 [de],130,,
1098,2MASS J04151954−0935066,18.6,30,0.95
1099,SDSSp J042348.57-041403.5 [de],50,,
1100,2MASS J04285096-2253227 [de],85,80,1.09
1101,2MASS J04351612-1606574,34,100,1.26
1102,2MASS J04362788-4114465,142,39,1.97
1103,2MASS J04390101-2353083 [de],29.5,48,0.97
1104,2MASS J04414489+2301513,470,19,
1105,2MASS J04433764+0002040,82,22,1.78
1106,2MASS J04455387-3048204 [de],42,64,1.00
1107,2MASS J04510093-3402150 [de],69,72,1.04
1108,2MASS J05002100+0330501 [de],44,64,1.00
1109,2MASS J05012406-0010452 [de],64,21,1.38
1110,2MASS J05160945-0445499 [de],73,47,0.97
1111,2MASS J0523−1403,40,68,1.01
1112,2MASS 0532+8246,81,83,
1113,SDSS J053951.99-005902.0,41.62,61,1.01
1114,2MASS J05591914-1404488 [de],34,,
1115,LSR 0602+3910 [de],34.6,28,1.41
1116,2MASS J06085283-2753583,102,38,1.51
1117,WISEP J061135.13-041024.0A,69,65,
1118,WISEP J061135.13-041024.0B,69,53,
1119,2MASS J06244595-4521548 [de],39,56,0.99
1120,2MASS J06411840-4322329 [de],65,67,1.01
1121,DENIS-P J0652197-253450 [de],51,75,1.05
1122,2MASS J07003664+3157266 [de],40,,
1123,2MASS J07075327-4900503,60,72,1.03
1124,UGPS J072227.51-054031.2,13.4,26,0.98
1125,2MASSI J0727182+171001 [de],29.6,41,0.94
1126,2MASS J07290002-3954043 [de],25.8,37,0.94
1127,SDSS J074201.41+205520.5 [de],49,43,0.94
1128,2MASS J0746425+200032 [fr],49.6,,
1129,DENIS-P J0751164-253043 [de],55,71,1.03
1130,2MASS J07522390+1612157,60,68,2.01
1131,DENIS J081730.0-615520,16.1,44,0.94
1132,DENIS J082303.1−491201A,67,44,
1133,DENIS J082303.1−491201B,67,28,
1134,2MASS J08251968+2115521 [de],35,52,0.98
1135,SDSSp J083008.12+482847.4 [de],43,48,0.99
1136,LHS 2021,55,88,1.15
1137,SDSS J083048.80+012831.1 [de],77,46,0.96
1138,2MASSI J0835425-081923 [de],23.53,62,1.00
1139,2MASSI J0847287-153237 [de],43,64,1.00
1140,2MASS J08533619-0329321,27.6,77,1.07
1141,2MASSI J0859254-194926 [de],50,50,0.98
1142,2MASSW J0920122+351742 [de],95,,
1143,2MASSI J0937347+293142,20.0,42,0.94
1144,2MASS 0939−2448,17.4,32,0.95
1145,2MASS J09490860-1545485 [de],59,49,0.96
1146,2MASS J10073369-4555147,46,44,0.94
1147,2MASSI J1010148-040649 [de],55,51,0.98
1148,2MASSI J1017075+130839 [de],108,,
1149,SDSS J102109.69-030420.1,95,,
1150,2MASS J10224821+5825453 [de],60,27,1.41
1151,2MASSW J1036530-344138 [de],53,49,0.97
1152,2MASS J1047538+212423 [de],34.4,42,0.94
1153,Luhman 16B,6.516,43,1.02
1154,Luhman 16A,6.516,40,1.01
1155,DENIS-P J1058.7−1548,49,64,1.00
1156,TWA 28,180,36,2.39
1157,Cha 110913-773444,163,8,1.8
1158,OTS 44,554,15,
1159,SDSS J111010.01+011613.1,63,9,1.24
1160,2MASS J11145133−2618235,18.2,33,0.96
1161,TWA 26,137,30,2.20
1162,2MASSW J1146345+223053,89,,
1163,2MASS J11544223-3400390 [de],129,37,1.50
1164,2MASSW J1155395-372735 [de],31,64,1.00
1165,TWA 27A,,,
1166,TWA 27B,,,
1167,2MASS J12074836-3900043,217,17,1.71
1168,2MASSI J1217110-031113 [de],36,42,0.94
1169,2MASS J12255432-2739466,43,,
1170,DENIS-P J1228.2-1547,66,,
1171,2M 1237+6526,45.6,41,0.94
1172,2MASSW J1239272+551537 [de],119,,
1173,TWA 29,262,25,2.00
1174,SDSSp J125453.90-012247.4 [de],38,47,0.98
1175,Kelu-1A,61,63,0.98
1176,Kelu-1B,61,58,0.98
1177,2MASS J13204427+0409045,101,67,1.01
1178,SDSSp J132629.82-003831.5 [de],65,51,0.97
1179,SDSSp J134646.45-003150.4 [de],48,44,0.94
1180,2MASS J13595510-4034582,51,63,1.00
1181,ULAS J141623.94+134836.3,29.7,32,0.96
1182,SDSS J141659.78+500626.4 [de],149,59,0.99
1183,DENIS-P J142527.97-365023.4 [de],38,21,1.32
1184,LHS 2924,38.5,76,1.06
1185,2MASS J14392837+1929150,47,72,1.03
1186,LSPM J1440+1339,72,92,1.19
1187,2MASS J14482563+1031590 [de],47,59,0.99
1188,CFBDSIR 1458+10A,104,11.1,1.5
1189,CFBDSIR 1458+10B,104,9,1.3
1190,TVLM 513-46546,35.1,75,1.05
1191,2MASS 1503+2525,20.7,44,0.94
1192,CFBDS J150411+102717,71,44,0.94
1193,2MASSW J1506544+132106 [de],46,69,1.02
1194,2MASS 1507−1627,23.9,60,0.99
1195,TVLM 868-110639,53,79,1.08
1196,SDSS J151114.66+060742.9 [de],89,,
1197,2MASSW J1515008+484742 [de],34,57,0.99
1198,2MASSI J1526140+204341 [de],67,54,0.98
1199,DENIS-P J153941.96-052042.4 [de],51,63,1.00
1200,2MASS J15462718-3325111 [de],37,44,0.94
1201,2MASSW J1552591+294849 [de],68,30,1.43
1202,2MASSW J1555157-095605 [de],44,71,1.03
1203,2MASS J16150413+1340079 [de],48,42,0.94
1204,SDSSp J162414.37+002915.6 [de],36,43,0.94
1205,2MASS J16262034+3925190 [de],110,71,1.03
1206,2MASSW J1632291+190441 [de],50,49,0.97
1207,WISEPA J164715.59+563208.2,28,41,0.94
1208,LSPM J1658+7027 [de],60,73,1.04
1209,2MASSI J1726000+153819,114,24,1.40
1210,2MASSW J1728114+394859,79,,
1211,SDSSp J175032.96+175903.9,90,47,0.97
1212,2MASS J18283572-4849046,39,45,0.95
1213,LSR J1835+3259,18.5,77,1.07
1214,2MASSW J1841086+311727,138,67,1.01
1215,2MASS J18432213+4040209,46,96,1.22
1216,2MASS J20004841-7523070,105,25,1.88
1217,SDSS J204749.61-071818.3,65,46,0.96
1218,2MASSI J2057540-025230,47,70,1.02
1219,2MASSW J2101154+175658,108,,
1220,2MASSI J2104149-103736,62,69,1.02
1221,PSO J318.5−22,80,6.5,1.53
1222,HB 2124-4228,113,94,1.21
1223,2MASS J21392676+0220226,32.1,46,0.96
1224,2MASS J21481628+4003593,26.3,55,0.99
1225,2MASS J14112131-2119503,,,
1226,2MASSW J2206450-421721,93,22,1.33
1227,2MASSW J2208136+292121,154,27,1.41
1228,2MASSW J2224438-015852,38,61,0.99
1229,2MASS J22282889-4310262,35,42,0.94
1230,2MASS J22373255+3922398,64,73,1.04
1231,2MASSW J2244316+204343,56,12,1.29
1232,2MASS J23224684-3133231,56,24,1.39
1233,2MASS J23225299-6151275,148,17,1.59
1234,2MASS J23515044-2537367,67,88,1.16
1235,2MASSI J2356547-155310,74,80,1.09
1236,WISE 0005+3737,23.2,,
1237,WISE 0008-1739,87.1,,
1238,WISE 0015-4615,48.6,,
1239,WISE 0031-3840,71.8,,
1240,WISE 0032-4946,62.9,,
1241,WISE 0038+2758,36.9,,
1242,WISE 0038+8405,101.8,,
1243,WISE 0040+0900,47.6,,
1244,WISE 0049+0441,62.6,,
1245,WISE 0049+2151,24.1,,
1246,WISE 0106+1518,142.9,,
1247,WISE 0123+4142,67.2,,
1248,WISE 0135+1715,77.3,,
1249,WISE 0138-0322,57.7,,
1250,WISE 0146+4234,20.5,,
1251,WISE 0148-7202,30,,
1252,WISE 0150+3827,61.3,,
1253,WISE 0206+2640,58.4,,
1254,WISE 0221+3842,73.1,,
1255,WISE 0223-2932,47,,
1256,WISE 0226-0211,91,,
1257,WISE 0241-3653,53.8,,
1258,WISE 0245-3450,56.1,,
1259,WISE 0247+3725,57.1,,
1260,WISE 0305+3954,75,,
1261,WISE 0307+2904,82.8,,
1262,WISE 0313+7807,28,,
1263,WISE 0316+4307,106.3,,
1264,WISE 0321-7347,84.8,,
1265,WISE 0323-6025,45.3,,
1266,WISE 0325-3854,51.2,,
1267,WISE 0325+0831,36.5,,
1268,WISE 0333-5856,54.8,,
1269,WISE 0335+4310,45.7,,
1270,WISE 0336-0143,55.4,,
1271,WISE 0350-5658,17.7,,
1272,WISE 0359-5401,19.2,,
1273,WISE 0410+1502,20,6,1.17
1274,WISE 0410+1411,85.8,,
1275,WISE 0413-4750,66.2,,
1276,WISE 0448-1935,69.8,,
1277,WISE 0458+6434A,35.9,15,4.2
1278,WISE 0458+6434B,35.9,10,3.8
1279,WISE 0500-1223,47,,
1280,WISE 0513+0608,44.7,,
1281,WISE 0525+6739,98.2,,
1282,WISE 0528-3308,57.4,,
1283,WISE 0535-7500,47,,
1284,WISE 0539-1034,84.8,,
1285,WISE 0542-1628,50.6,,
1286,WISE 0607+2429,25.4,,
1287,WISE 0611-0410,57.7,,
1288,WISE 0612-4920,95.2,,
1289,WISE 0612-3036,64.9,,
1290,WISE 0614+3912,50.2,,
1291,WISE 0614+0951,51.5,,
1292,WISE 0623-0456,37.5,,
1293,WISE 0625+5646,67.2,,
1294,WISE 0627-1114,37.2,,
1295,WISE 0647-6232,28,,
1296,WISE 0656+4205,54.1,,
1297,WISE 0713-2917,23.2,,
1298,WISE 0723+3403,45.7,,
1299,WISE 0733+7544,78.3,,
1300,WISE 0734-7157,34.9,,
1301,WISE 0744+5628,47.3,,
1302,WISE 0750+2725,51.5,,
1303,WISE 0751-7634,39.1,,
1304,WISE 0759-4904,38.8,,
1305,WISE 0811-8051,32,,
1306,WISE 0812+4021,63.6,,
1307,WISE 0819-0335,46,,
1308,WISE 0821+1443,68.2,,
1309,WISE 0836-1859,72.4,,
1310,WISE 0857+5604,42.1,,
1311,WISE 0906+4735,51.5,,
