,name,radius,mass,distance
110,2MASS J11145133−2618235,18.2,33,0.96
111,TWA 26,137,30,2.20
112,2MASSW J1146345+223053,89,,
113,2MASS J11544223-3400390 [de],129,37,1.50
114,2MASSW J1155395-372735 [de],31,64,1.00
115,TWA 27A,,,
116,TWA 27B,,,
117,2MASS J12074836-3900043,217,17,1.71
118,2MASSI J1217110-031113 [de],36,42,0.94
119,2MASS J12255432-2739466,43,,
120,DENIS-P J1228.2-1547,66,,
121,2M 1237+6526,45.6,41,0.94
122,2MASSW J1239272+551537 [de],119,,
123,TWA 29,262,25,2.00
124,SDSSp J125453.90-012247.4 [de],38,47,0.98
125,Kelu-1A,61,63,0.98
126,Kelu-1B,61,58,0.98
127,2MASS J13204427+0409045,101,67,1.01
128,SDSSp J132629.82-003831.5 [de],65,51,0.97
129,SDSSp J134646.45-003150.4 [de],48,44,0.94
130,2MASS J13595510-4034582,51,63,1.00
131,ULAS J141623.94+134836.3,29.7,32,0.96
132,SDSS J141659.78+500626.4 [de],149,59,0.99
133,DENIS-P J142527.97-365023.4 [de],38,21,1.32
134,LHS 2924,38.5,76,1.06
135,2MASS J14392837+1929150,47,72,1.03
136,LSPM J1440+1339,72,92,1.19
137,2MASS J14482563+1031590 [de],47,59,0.99
138,CFBDSIR 1458+10A,104,11.1,1.5
139,CFBDSIR 1458+10B,104,9,1.3
140,TVLM 513-46546,35.1,75,1.05
141,2MASS 1503+2525,20.7,44,0.94
142,CFBDS J150411+102717,71,44,0.94
143,2MASSW J1506544+132106 [de],46,69,1.02
144,2MASS 1507−1627,23.9,60,0.99
145,TVLM 868-110639,53,79,1.08
146,SDSS J151114.66+060742.9 [de],89,,
147,2MASSW J1515008+484742 [de],34,57,0.99
148,2MASSI J1526140+204341 [de],67,54,0.98
149,DENIS-P J153941.96-052042.4 [de],51,63,1.00
150,2MASS J15462718-3325111 [de],37,44,0.94
151,2MASSW J1552591+294849 [de],68,30,1.43
152,2MASSW J1555157-095605 [de],44,71,1.03
153,2MASS J16150413+1340079 [de],48,42,0.94
154,SDSSp J162414.37+002915.6 [de],36,43,0.94
155,2MASS J16262034+3925190 [de],110,71,1.03
156,2MASSW J1632291+190441 [de],50,49,0.97
157,WISEPA J164715.59+563208.2,28,41,0.94
158,LSPM J1658+7027 [de],60,73,1.04
159,2MASSI J1726000+153819,114,24,1.40
160,2MASSW J1728114+394859,79,,
161,SDSSp J175032.96+175903.9,90,47,0.97
162,2MASS J18283572-4849046,39,45,0.95
163,LSR J1835+3259,18.5,77,1.07
164,2MASSW J1841086+311727,138,67,1.01
165,2MASS J18432213+4040209,46,96,1.22
166,2MASS J20004841-7523070,105,25,1.88
167,SDSS J204749.61-071818.3,65,46,0.96
168,2MASSI J2057540-025230,47,70,1.02
169,2MASSW J2101154+175658,108,,
170,2MASSI J2104149-103736,62,69,1.02
171,PSO J318.5−22,80,6.5,1.53
172,HB 2124-4228,113,94,1.21
173,2MASS J21392676+0220226,32.1,46,0.96
174,2MASS J21481628+4003593,26.3,55,0.99
175,2MASS J14112131-2119503,,,
176,2MASSW J2206450-421721,93,22,1.33
177,2MASSW J2208136+292121,154,27,1.41
178,2MASSW J2224438-015852,38,61,0.99
179,2MASS J22282889-4310262,35,42,0.94
180,2MASS J22373255+3922398,64,73,1.04
181,2MASSW J2244316+204343,56,12,1.29
182,2MASS J23224684-3133231,56,24,1.39
183,2MASS J23225299-6151275,148,17,1.59
184,2MASS J23515044-2537367,67,88,1.16
185,2MASSI J2356547-155310,74,80,1.09
186,WISE 0005+3737,23.2,,
187,WISE 0008-1739,87.1,,
188,WISE 0015-4615,48.6,,
189,WISE 0031-3840,71.8,,
190,WISE 0032-4946,62.9,,
191,WISE 0038+2758,36.9,,
192,WISE 0038+8405,101.8,,
193,WISE 0040+0900,47.6,,
194,WISE 0049+0441,62.6,,
195,WISE 0049+2151,24.1,,
196,WISE 0106+1518,142.9,,
197,WISE 0123+4142,67.2,,
198,WISE 0135+1715,77.3,,
199,WISE 0138-0322,57.7,,
200,WISE 0146+4234,20.5,,
201,WISE 0148-7202,30,,
202,WISE 0150+3827,61.3,,
203,WISE 0206+2640,58.4,,
204,WISE 0221+3842,73.1,,
205,WISE 0223-2932,47,,
206,WISE 0226-0211,91,,
207,WISE 0241-3653,53.8,,
208,WISE 0245-3450,56.1,,
209,WISE 0247+3725,57.1,,
210,WISE 0305+3954,75,,
211,WISE 0307+2904,82.8,,
212,WISE 0313+7807,28,,
213,WISE 0316+4307,106.3,,
214,WISE 0321-7347,84.8,,
215,WISE 0323-6025,45.3,,
216,WISE 0325-3854,51.2,,
217,WISE 0325+0831,36.5,,
218,WISE 0333-5856,54.8,,
219,WISE 0335+4310,45.7,,
220,WISE 0336-0143,55.4,,
221,WISE 0350-5658,17.7,,
222,WISE 0359-5401,19.2,,
223,WISE 0410+1502,20,6,1.17
224,WISE 0410+1411,85.8,,
225,WISE 0413-4750,66.2,,
226,WISE 0448-1935,69.8,,
227,WISE 0458+6434A,35.9,15,4.2
228,WISE 0458+6434B,35.9,10,3.8
229,WISE 0500-1223,47,,
230,WISE 0513+0608,44.7,,
231,WISE 0525+6739,98.2,,
232,WISE 0528-3308,57.4,,
233,WISE 0535-7500,47,,
234,WISE 0539-1034,84.8,,
235,WISE 0542-1628,50.6,,
236,WISE 0607+2429,25.4,,
237,WISE 0611-0410,57.7,,
238,WISE 0612-4920,95.2,,
239,WISE 0612-3036,64.9,,
240,WISE 0614+3912,50.2,,
241,WISE 0614+0951,51.5,,
242,WISE 0623-0456,37.5,,
243,WISE 0625+5646,67.2,,
244,WISE 0627-1114,37.2,,
245,WISE 0647-6232,28,,
246,WISE 0656+4205,54.1,,
247,WISE 0713-2917,23.2,,
248,WISE 0723+3403,45.7,,
249,WISE 0733+7544,78.3,,
250,WISE 0734-7157,34.9,,
251,WISE 0744+5628,47.3,,
252,WISE 0750+2725,51.5,,
253,WISE 0751-7634,39.1,,
254,WISE 0759-4904,38.8,,
255,WISE 0811-8051,32,,
256,WISE 0812+4021,63.6,,
257,WISE 0819-0335,46,,
258,WISE 0821+1443,68.2,,
259,WISE 0836-1859,72.4,,
260,WISE 0857+5604,42.1,,
261,WISE 0906+4735,51.5,,
262,WISE 0929+0409,64.9,,
263,WISE 0952+1955,72.1,,
264,WISE 1018-2445,47.6,,
265,WISE 1019+6529,56.8,,
266,WISE 1039-1600,47.3,,
267,WISE 1042-3842,53.2,,
268,WISE 1051-2138,40.8,,
269,WISE 1122+2550,57.7,,
270,WISE 1124-0421,50.6,,
271,WISE 1147-2040,102,,
272,WISE 1150+6302,32.9,,
273,WISE 1217+1626A,34.2,12,
274,WISE 1217+1626B,34.2,6,
275,WISE 1225-1013,55.4,,
276,WISE 1311+0122,44.4,,
277,WISE 1311+3629,86.1,,
278,WISE 1318-1758,32.9,,
279,WISE 1320+6034,56.1,,
280,WISE 1322-2340,33.9,,
281,WISE 1348+6603,91,,
282,WISE 1405+5534,25.3,30,0.86
283,WISE 1433-0837,84.8,,
284,WISE 1436-1814,60,,
285,WISE 1457+5815,52.2,,
286,WISE 1506+7027,11.1,,
287,WISE 1517+0529,72.4,,
288,WISE 1519+7009,50.9,,
289,WISE 1523+3125,84.5,,
290,WISE 1541-2250,20,,
291,WISE 1542+2230,41.1,,
292,WISE 1612-3420,55.4,,
293,WISE 1614+1739,32.6,,
294,WISE 1617+1807,50.2,,
295,WISE 1622-0959,52.2,,
296,WISE 1627+3255,50.2,,
297,WISE 1639-6847,16.3,,
298,WISE 1647+5632,28,,
299,WISE 1653+4444,39.5,,
300,WISE 1711+3500,60.3,,
301,WISE 1717+6129,72.7,,
302,WISE 1721+1117,62.3,,
303,WISE 1728+5716,97.8,,
304,WISE 1738+2732,20,,
305,WISE 1741+2553,18.9,,
306,WISE 1746-0338,83.8,,
307,WISE 1800+0134,28.7,57,
308,WISE 1804+3117,30,,
309,WISE 1809+3838,74.4,,
310,WISE 1812+2721,47,,
311,WISE 1828+2650,36,,
312,WISE 1830+4542,107,,
313,WISE 1841+7000,131.1,,
314,WISE 1852+3537,55.4,,
315,WISE 1906+4508,51.5,,
316,WISE 1928+2356,22.8,,
317,WISE 1952+7240,44.4,,
